Assignment,Miles,Deliveries,Time
1,100.0,4.0,9.3
2,50.0,3.0,4.8
3,100.0,4.0,8.9
4,100.0,2.0,6.5
5,50.0,2.0,4.2
6,80.0,2.0,6.2
7,75.0,3.0,7.4
8,65.0,4.0,6.0
9,90.0,3.0,7.6
10,90.0,2.0,6.1
11,50.0,5.0,7.0
12,45.0,6.0,7.0
13,85.0,5.0,9.6
14,65.0,2.0,6.5
15,40.0,6.0,7.2
16,50.0,3.0,6.0
17,75.0,5.0,9.9
18,75.0,4.0,8.6
19,65.0,3.0,4.9
20,90.0,3.0,7.5
21,95.0,1.0,7.2
22,95.0,6.0,9.9
23,50.0,1.0,5.6
24,80.0,3.0,7.5
25,90.0,2.0,7.8
26,80.0,3.0,7.2
27,75.0,3.0,7.0
28,95.0,2.0,8.7
29,90.0,1.0,6.4
30,100.0,3.0,9.9
31,60.0,1.0,4.1
32,90.0,4.0,9.3
33,70.0,5.0,9.1
34,100.0,5.0,8.9
35,40.0,4.0,5.4
36,80.0,2.0,5.9
37,90.0,4.0,8.8
38,80.0,5.0,8.4
39,95.0,2.0,9.4
40,75.0,5.0,8.8
41,40.0,3.0,5.0
42,45.0,3.0,6.5
43,75.0,6.0,8.7
44,95.0,4.0,8.4
45,55.0,2.0,7.1
46,75.0,3.0,6.1
47,55.0,2.0,5.2
48,100.0,6.0,10.0
49,50.0,4.0,5.1
50,40.0,1.0,3.6
51,90.0,4.0,8.4
52,80.0,1.0,6.4
53,80.0,3.0,6.7
54,90.0,5.0,8.5
55,60.0,4.0,5.9
56,40.0,2.0,2.8
57,70.0,4.0,7.9
58,95.0,3.0,8.9
59,40.0,5.0,6.0
60,45.0,1.0,3.1
61,45.0,5.0,6.3
62,65.0,5.0,7.5
63,85.0,2.0,7.2
64,85.0,2.0,8.0
65,75.0,3.0,6.8
66,45.0,4.0,5.1
67,40.0,1.0,3.2
68,90.0,1.0,5.9
69,100.0,2.0,7.8
70,75.0,1.0,5.8
71,45.0,1.0,3.8
72,85.0,1.0,6.8
73,60.0,2.0,5.7
74,70.0,2.0,5.5
75,85.0,4.0,9.2
76,70.0,5.0,9.0
77,85.0,6.0,9.3
78,85.0,5.0,8.8
79,40.0,5.0,7.1
80,95.0,5.0,10.8
81,45.0,5.0,6.9
82,85.0,6.0,9.4
83,45.0,2.0,3.6
84,95.0,1.0,7.6
85,65.0,5.0,8.5
86,85.0,3.0,7.1
87,40.0,6.0,7.1
88,55.0,3.0,6.0
89,45.0,2.0,5.3
90,65.0,3.0,6.3
91,85.0,5.0,10.2
92,75.0,2.0,7.6
93,40.0,3.0,6.0
94,85.0,4.0,8.9
95,85.0,1.0,7.6
96,40.0,6.0,6.6
97,55.0,6.0,8.0
98,90.0,6.0,9.7
99,85.0,1.0,6.2
100,45.0,1.0,4.3
101,50.0,2.0,4.2
102,60.0,4.0,8.0
103,45.0,2.0,5.5
104,85.0,4.0,8.9
105,90.0,1.0,7.1
106,40.0,2.0,5.5
107,80.0,4.0,9.3
108,70.0,4.0,9.2
109,70.0,2.0,6.3
110,80.0,4.0,8.6
111,100.0,6.0,11.0
112,75.0,1.0,6.7
113,50.0,3.0,5.5
114,45.0,6.0,8.1
115,100.0,6.0,10.2
116,100.0,2.0,7.7
117,80.0,4.0,7.2
118,100.0,3.0,9.0
119,100.0,6.0,10.4
120,45.0,3.0,5.1
121,50.0,4.0,6.4
122,40.0,4.0,4.1
123,100.0,3.0,8.0
124,95.0,4.0,8.5
125,50.0,2.0,3.6
126,65.0,4.0,7.3
127,50.0,6.0,6.9
128,85.0,4.0,8.7
129,90.0,3.0,8.8
130,45.0,5.0,8.3
131,50.0,6.0,9.3
132,55.0,5.0,7.5
133,45.0,3.0,5.7
134,95.0,4.0,8.5
135,60.0,6.0,7.4
136,55.0,1.0,5.9
137,85.0,1.0,8.0
138,95.0,3.0,8.7
139,55.0,3.0,6.1
140,50.0,4.0,7.1
141,45.0,6.0,6.3
142,50.0,3.0,5.2
143,50.0,5.0,6.0
144,90.0,3.0,8.4
145,65.0,4.0,7.2
146,60.0,6.0,7.9
147,40.0,5.0,5.2
148,80.0,3.0,7.0
149,100.0,1.0,6.9
150,70.0,6.0,10.6
151,90.0,5.0,9.0
152,70.0,3.0,5.6
153,100.0,3.0,8.8
154,85.0,4.0,9.1
155,90.0,6.0,11.2
156,40.0,4.0,4.2
157,85.0,2.0,6.3
158,50.0,1.0,3.5
159,40.0,5.0,7.2
