id,text,creation_date,post_id,user_id,user_display_name,score
88055040,"main(){ int *ptr; ptr=malloc(5*sizeof(int));}-->showing possibly lost ,why not showing definetely lost?",2018-05-25 04:15:49.260000+00:00,50504703,9292431,,0
29823695,"@slier: Yes, it is ok to have a table with many columns, many unfilled. It simply depends on what you are modelling. In your design above, you have a field called 'policy' - this might well need to be a foreign key for a 'policies' table as many restaurants may have the same policy.",2013-11-17 04:11:32.503000+00:00,20022898,162502,,0
69244202,I have the same flicker problem when adding elements above but want to retain scroll position. I guess the main issue is that we need to let angular render the DOM before we know the height which we need to adjust for. Did you find a solution yet?,2016-12-07 13:21:47.397000+00:00,37996653,4878880,,0
12161289,I have already confessed that I am a beginner in regex. I don't have any problem with Java. I need only the regex or the hint that how to build this complex regex.,2012-03-06 18:12:28.603000+00:00,9589373,1061692,,0
90388054,"Don't reinvent the wheel, just use apache-commons.
https://commons.apache.org/proper/commons-collections/apidocs/org/apache/commons/collections4/ListUtils.html https://commons.apache.org/proper/commons-collections/apidocs/org/apache/commons/collections4/MapUtils.html",2018-08-06 18:07:53.063000+00:00,51713307,2232044,,0
87270163,works now! thanks so much @harun24hr !!! another question: can i add textbox at a specific location in the pdf i have created?,2018-05-02 01:47:04.610000+00:00,50112190,9724210,,0
5278050,"1) Doesn't handle the requirement that the method should be case insensitive. 2) doesn't remove stop _words_ -- it would remove ""no"" in ""novel"".",2011-01-22 17:33:17.473000+00:00,4769300,1109,,0
25745735,"Not sure what you want, can you explain more clearly by update you post?",2013-07-16 10:32:46.013000+00:00,17673570,1426056,,0
60619326,question is Edited. I gave correct answer According to question Related to timezone. Don't give negative marking. plz. Even you can also check question edited time and comment below question also.,2016-04-08 17:55:40.197000+00:00,35360350,4910767,,0
61936297,"@stark [`std::fstream`](http://en.cppreference.com/w/cpp/io/basic_fstream) by default uses `ios::out | ios::in` as the mode when opening, and according to [this reference](http://en.cppreference.com/w/cpp/io/basic_filebuf/open) it is the same as the [`fopen`](http://en.cppreference.com/w/cpp/io/c/fopen) mode `""r+""` which opens an *existing* file for reading and writing, no truncating is being done and the file *must* exist.",2016-05-13 05:53:59.733000+00:00,37196865,440558,,0
30942484,"`scandir` only returns an array with the basename, not the entire path like `glob` does. I think the fix is obvious, but see my updated answer for details.",2013-12-18 18:49:28.257000+00:00,20664785,880984,,1
79326099,"@Rrrrrrrrrrr Please, edit your post adding the output of `dput(data)` or at least `dput(head(data))`. Do not post images of your data.",2017-09-12 16:44:27.270000+00:00,46056459,1166684,,0
33322157,start by selecting the 3rd item,2014-02-24 12:56:22.020000+00:00,21988127,95462,,0
11071040,Why do you want to do that?  Restricting inline asm doesn't help much if you're worried about security.,2012-01-14 09:10:29.940000+00:00,8848644,735460,,0
21735075,Thanks a ton. My first app is now working.,2013-03-13 07:32:51.457000+00:00,15378612,2164033,,0
16286819,@PeterSzymkowski - did you mean to press 'Update' in the jsfiddle first?,2012-08-28 22:28:26.737000+00:00,12168396,1238887,,0
58903742,Read and write char by char. Forget strings.,2016-02-24 18:07:37.067000+00:00,35609664,4142924,,0
50968459,@probuddhasingha already updated according to your needs :),2015-07-19 15:34:37.043000+00:00,31499983,3418420,,0
24526945,i have already tried this... i am facing same issue...,2013-06-07 08:33:41.417000+00:00,16978686,2327338,,0
87736891,@Aeseir yeah I didn’t want to use the router either. So I dropped the callback on the landing page.  Lemme post some more code in my answer hold on,2018-05-15 22:45:45.437000+00:00,47879777,1938988,,0
92713789,Don't mind. The most elegant solution only matters to me (with performance of course),2018-10-19 22:52:50.270000+00:00,52900380,4031282,,0
71801739,Do not post code in external links; include it in your post.,2017-02-19 06:26:57.287000+00:00,42324194,18157,,0
42131273,"Also, take a look at the answer of @monnoo",2014-11-06 09:58:59.190000+00:00,6702643,1206998,,0
61196518,"Looking at the headers, the working one says `charset=ISO-8859-1`, whereas the one you insert in the non-working one is utf8. Does changing that make a difference?",2016-04-23 14:09:36.930000+00:00,36811483,451641,,0
2636890,@Alan I think you mean @cambr.,2010-04-12 18:01:56.663000+00:00,2623660,3153,,0
69935328,"I don't know mongoose, but in mongo shell `Babies.update({""birth-date"", 'babies.id': 1},...`will give an error because `""birth-date""` needs :something, that is the property needs a key (for instance  `Babies.update({""birth-date"":""18/12/2010"", 'babies.id': 1},...`",2016-12-28 17:32:37.887000+00:00,41366780,3760021,,0
56657004,"@MyNameIsHans Absolutely! You can make a `Map<Class<?>,String> cachedStrings` and a method that checks `cachedStrings` for a given class, before creating an instance and harvesting the initial value of `someString`.",2015-12-24 20:16:37.927000+00:00,34457170,335858,,1
5152906,"Call to undefined method mysqli_stmt::fetch_all() is the error i am recieving, any idea on how to fix it? How can i pass the results to an array if i am using prepared statments?",2011-01-12 22:47:06.373000+00:00,4673744,476412,,0
