id,creation_date,post_id,post_history_type_id,revision_guid,user_id,text,comment
31750825,2012-11-13 07:28:12.277000+00:00,13356946,1,bdcffdb4-d15e-4898-b86c-157001edfd80,1762653,Where to put JQuery Themeroller files in Rails app? (No change in view),
90843462,2015-05-19 18:27:54.977000+00:00,30333361,1,745ce463-aae8-4749-b53e-09656001346f,4871994,Hortonworks Ambari 2.0 Alerts,
174502389,2018-05-30 09:01:47.600000+00:00,50600550,1,4230872f-e08f-4ecb-8f46-3e13b264e510,4593877,So i want to run a sql script that would dyanamic pick a farmer and assign them to an employee,
183287496,2018-10-08 06:20:17.323000+00:00,52696439,1,35692632-b6df-4f62-8980-6bc404879714,5647038,"How to add certificate to ""MY"" store for all the user account",
8060436,2010-10-01 23:00:51.243000+00:00,3843544,1,a22e0f87-38c3-49c3-a293-626c60553ba0,62951,How can I use Castle Windsor instead of this?,
60260410,2014-03-13 07:24:55.097000+00:00,22371806,1,13e3a11f-9d4a-4f27-8cf0-5b9b02ea8b47,3409068,Send Email when value changes in Google Spreadsheet,
149896905,2017-06-21 16:36:10.637000+00:00,44681694,1,4cbbf38d-6b2d-4b34-b071-7480e71f2199,1121737,Returning a JSON response,
186305441,2018-11-21 18:02:51.557000+00:00,53418076,1,b798dbef-4abe-4247-9f89-b73155924df3,2897445,Passing request as is from a service to another,
96293611,2015-07-30 13:03:45.640000+00:00,31724584,1,1341d6fb-37d8-411a-b817-e0be947e4922,4875059,Move link to the end of the div,
77917989,2014-11-18 12:06:28.867000+00:00,26993966,1,a30e7226-5839-4105-b74e-9d4de6b40fa6,2779949,Using scope operator (::) in function header for return value,
162838612,2017-12-15 05:57:00.707000+00:00,47826588,1,db123655-e7e2-4585-a035-f4a1710f1e88,9086020,php header and javascript windows.location both does not work,
24551993,2012-05-18 07:49:45.620000+00:00,10648750,1,968e7118-46fc-41cc-8d3d-ebe5ba7ef857,1075466,Custom Dropdown List for Spinner,
