id,body,comment_count,community_owned_date,creation_date,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,post_type_id,score,tags
4729878,"<p>I promise my activity as SO moderator will be on par with that of any other Romanian politician.</p>

<p>Hmm... Is this thing working?</p>",0,2011-01-18 22:38:56.263000+00:00,2011-01-18 22:38:56.263000+00:00,2011-01-18 22:38:56.263000+00:00,2011-01-18 22:38:56.263000+00:00,,321468,,321468,6,0,
4730410,"<p>Being around <em>SO</em> for 2 years, registered 8 months ago and on the 15<sup>th</sup> of last month I bought my new laptop and decided that I need to stop the PS3 CoD addiction and get involved in the community again (sounds <a href=""http://blog.stackoverflow.com/2011/01/welcome-valued-associate-nick-craver/"" rel=""nofollow"">familiar</a>?), and there's no better place than <em>SO</em> where I felt home!  </p>

<p>I'm relatively new, but I <a href=""http://stackoverflow.com/users/337227/ifaour?tab=reputation"">clearly</a> have the passion and the desire to push forward and increase the quality of SO even more!  </p>

<p>With me, the <em>stack</em> will never <em>overflow</em>!</p>",0,2011-01-18 23:57:14.053000+00:00,2011-01-18 23:57:14.053000+00:00,2011-01-18 23:57:14.053000+00:00,2011-01-18 23:57:14.053000+00:00,,337227,,337227,6,0,
4730017,"<p>It has been exactly a year (a year and a day to be more accurate) since I joined Stackoverflow. It would be an honor to become a SOF moderator. Not only I consider it an honor, I have immense drive and hunger to offer my services to the community in whichever way possible.</p>

<p>This is one of the communities which exposes people's positivity and it is my highest priority to keep it that way. I have a 1:2 questions to answers ratio insisting that I have been on both the ends of the spectrum. I clearly know the whats and hows of expectations and contributions.</p>

<p>Kindly nominate me as moderator and I will make sure SOF gets better than better.</p>",0,2011-01-18 22:56:48.660000+00:00,2011-01-18 22:56:48.660000+00:00,2011-01-18 22:56:48.660000+00:00,2011-01-18 22:56:48.660000+00:00,,1977903,,1977903,6,0,
4729774,"<p>Just another avid SO lover and proponent throwing his hat in the ring to hopefully continue to  grow and continue to refine the community and the invaluable intellectual resource that is StackOverflow.</p>

<p>One merit I would say proves my dedication and love of this place is my receiving the designation as the Top ""Top New User"" my joining week.</p>

<p>Thanks!</p>",0,2011-01-18 22:27:33.187000+00:00,2011-01-18 22:27:33.187000+00:00,2011-01-18 22:27:33.187000+00:00,2011-01-18 22:27:33.187000+00:00,,555384,,555384,6,0,
4732240,"<p>I have been a member on stackoverflow for over 6 months now but the amount of knowledge I have gained over here in these 6 months was quite surprising. My strong field being SQL and C#, but being in stackoverflow just showed me how much more is out there in world which we are not aware of. </p>

<p>Since the stackoverflow is lead by community people and the community has given me so much more knowledge at one common place than what I would've got going on normal google way. So here is the strong reason to give something back to the community from my side and hence nominating myself for the moderator post. Being a moderator, I can give my best not only in terms of giving correct answers and stuff, but also helping people with questions which are badly formatted, correcting some arrogant people and keeping the community clean.</p>

<p>In general my strong points for being elected as moderator are -</p>

<ol>
<li>patience </li>
<li>showing respect for the fellow community members in their actions and words</li>
<li>open to resolve any disputes regarding any questions or answers or any other disputes regarding the website itself.</li>
</ol>

<p>Without taking much more time on this, I will be eagerly waiting to do my bit for the community being a moderator. Even otherwise I would continue to work with the community on stackoverflow anyway.</p>

<p>Thank you all.</p>",0,2011-01-19 06:05:52.993000+00:00,2011-01-19 06:05:52.993000+00:00,2011-01-19 06:05:52.993000+00:00,2011-01-19 06:05:52.993000+00:00,,399037,,399037,6,0,
4730675,"<p>I would really be very good at it as I already do it in several other places, and I actually have no wish to be a mod here.
It seems I have to put more words to describe my superiority over others, I do not believe so so I wont.</p>",0,2011-01-19 00:47:51.863000+00:00,2011-01-19 00:47:51.863000+00:00,2011-01-19 00:47:51.863000+00:00,2011-01-19 00:47:51.863000+00:00,,67153,,67153,6,0,
4753345,"<p>I have been an active member of the StackOverflow community for well over a year.  I primarily answer questions and help keep the site free of clutter by taking advantage of the moderator tools accessible at 10k reputation.</p>

<p>Part of keeping StackOverflow great involves removing the immense amounts of clutter inherently created with so many users.  My goal will be to help nurture a positive environment for StackOverflow and ensure that the people asking questions have the best possible chance of getting excellent answers.</p>

<p>I may not have the highest reputation score, but I care greatly about this community and always try to make it better.  I think with moderator privileges, I will be able to further improve the quality of content on this site in ways that are not possible today.</p>",0,2011-01-20 22:21:40.890000+00:00,2011-01-20 22:21:40.890000+00:00,2011-01-20 22:21:40.890000+00:00,2011-01-20 22:21:40.890000+00:00,,110088,,110088,6,0,
4729787,"<p>Few reasons:</p>

<ul>
<li>I offer help more often than ask for it</li>
<li>I help others by formatting/formulating better questions (and answers as well)</li>
<li>I often amend my own questions and answers to improve them</li>
<li>I support several StackExchange sites (although Stackoverflow is THE ONE)</li>
<li>I'm close to moderator tools (just shy of 10k)</li>
<li>I often revisit my questions and answers to provide additional insights</li>
</ul>

<p>Oh did I mention that <strong>I also help others correctly format/formulate their questions</strong>? Basically I'm helping them get better help by other means and not just by answering their questions.</p>",0,2011-01-18 22:28:57.573000+00:00,2011-01-18 22:28:57.573000+00:00,2011-01-18 23:22:53.480000+00:00,2011-01-18 23:22:53.480000+00:00,,75642,,75642,6,0,
8042437,"<p>I too must nominate myself if for no other reason than, as mentioned earlier, I do happen to have all the badges.  Also, I have some experience moderating (though not here, just a facebook group that needs reminders about what it's purpose is).</p>

<p>I am a little brusque, but mean well.</p>

<p>Unfortunately, I am not a large meta contributor, though this could be rectified.</p>",0,2011-11-07 20:50:26.390000+00:00,2011-11-07 20:50:26.390000+00:00,2011-11-07 20:50:26.390000+00:00,2011-11-07 20:50:26.390000+00:00,,54200,,54200,6,0,
4729565,<p>I am detail oriented and would like to moderate this site to keep it a clean and fun place to visit everyday.</p>,0,2011-01-18 22:03:54.897000+00:00,2011-01-18 22:03:54.897000+00:00,2011-01-18 22:03:54.897000+00:00,2011-01-18 22:03:54.897000+00:00,,171206,,171206,6,0,
49331343,"<p>lorem ipsum next time...</p>

<p>This nomination will be withdrawn in seconds.</p>

<p>Your bones don't break, mine do. That's clear. Your cells react to bacteria and viruses differently than mine. You don't get sick, I do. That's also clear. But for some reason, you and I react the exact same way to water. We swallow it too fast, we choke. We get some in our lungs, we drown. However unreal it may seem, we are connected, you and I. We're on the same curve, just on opposite ends.</p>",0,2018-03-17 00:42:53.160000+00:00,2018-03-17 00:42:53.160000+00:00,2018-03-17 00:42:53.160000+00:00,2018-03-17 00:42:53.160000+00:00,,331508,,331508,6,0,
33630405,"<p>You cannot begin to imagine in how many ways the world is the opposite of what you have been taught to believe.</p>

<p>...</p>

<p>It is sickening, the reverence with which you speak of the liars and thieves whose feet are so firmly planted on your necks. You call the congressmen and the judges ‘honorable,’ and you swoon at the magnificence of the grandiose halls they inhabit, like this one, the temples they built to celebrate the domination of mankind. You feel pride at being able to say you once shook a senator’s hand, or saw the President in person. Ah, yes, the grand deity himself, His Royal Highness, the President of the United States of America.
You speak the title as if you’re referring to God Almighty. The vocabulary has changed a bit, but your mindset is no different from that of the groveling peasants of old who bowed low, faces in the dirt, with a feeling of unworthiness and humility, when in the presence of whatever narcissist had declared himself to be their rightful lord and master. The truth of the matter, back then and today, is that these parasites who call themselves ‘leaders’ are not superior beings, they are not great men and women, they are not honorable, they’re not even average.</p>

<p><a href=""http://peacefreedomprosperity.com/8575/the-greatest-speech-ever-grants-speech-from-the-iron-web-by-larken-rose/"" rel=""nofollow"">http://peacefreedomprosperity.com/8575/the-greatest-speech-ever-grants-speech-from-the-iron-web-by-larken-rose/</a></p>",0,2015-11-10 12:50:03.250000+00:00,2015-11-10 12:50:03.250000+00:00,2015-11-10 12:50:03.250000+00:00,2015-11-10 12:50:03.250000+00:00,,5640,,5640,6,0,
40499306,"<p>Testing US; will delete momentarily.</p>

<p>Filler. Filler. Filler. Filler. Filler. Filler. Filler. Filler. Filler. Filler. Filler. Filler. Filler. Filler. </p>",0,2016-11-09 02:02:17.027000+00:00,2016-11-09 02:02:17.027000+00:00,2016-11-09 02:02:17.027000+00:00,2016-11-09 02:02:17.027000+00:00,,331508,,331508,6,0,
4729675,"<p>I would love an opportunity to assist in continuing to make SO the great place it is. I'm young, but youth is not a measure of character or maturity. I believe that I can contribute to SO as a moderator, by keeping things running smoothly. I also believe that as a moderator, I will have a greater opportunity to learn from those more experienced than me.</p>",0,2011-01-18 22:16:29.163000+00:00,2011-01-18 22:16:29.163000+00:00,2011-01-18 22:16:29.163000+00:00,2011-01-18 22:16:29.163000+00:00,,205930,,205930,6,0,
4730004,"<p>Real name on the line. Been in IT since 1986 and answering questions since 1997 on various sites including the hyphened one where I have been zone advisor for many years.   </p>

<p>In the 10 months I have been here, I have enjoyed gaining enough rep to help edit question and would be happy to give more assistance since that is what I like to do in general, help people.  </p>

<p>I am fair, level-headed, tolerant and patient with people who's first language (as in my case) is not English - ditto with people who's first language IS English ;)  </p>

<p>I am critical and can receive constructive criticism. It will be interesting to see if the SO community feel I am too tainted with hyphens...</p>

<p>Best regards<br>
Michel Plungjan</p>",0,2011-01-18 22:55:00.247000+00:00,2011-01-18 22:55:00.247000+00:00,2011-01-18 22:55:00.247000+00:00,2011-01-18 22:55:00.247000+00:00,,295783,,295783,6,0,
33617798,"<pre><code>                           a                               a                               a                               a                               a                               a                               a                               a                               a                               a                               a                               a                               a
</code></pre>",0,2015-11-09 20:36:48.280000+00:00,2015-11-09 20:36:48.280000+00:00,2015-11-09 20:36:48.280000+00:00,2015-11-09 20:36:48.280000+00:00,,1350209,,1350209,6,0,
21693435,"<p>I'd like to nominate myself once again for the position of moderator.  Around these parts, I'm Makoto, but I'm known as Jason.</p>

<h3>A bit about myself</h3>

<ul>
<li><p>I'm <em>fervently</em> passionate about Stack Overflow - I find myself on this site very, <em>very</em> often, either searching for an answer, answering another question, or helping clean up the site with edits, flagging, and votes as appropriate.</p></li>
<li><p>I'm an honest guy - I call it as I see it, and when I'm wrong, I'll admit it and learn from my mistakes.</p></li>
<li><p>I've learned a lot since my last run at modship - I'm familiar and comfortable with the 10K tools.</p></li>
<li><p>I feel that I can <strong>lead by example</strong> where required.  I wish to set the tone of excellent and constructive participation in the community.</p></li>
<li><p>I feel that my normal routine of helping others with their issues will remain, as well as aiding in the other areas of moderation.</p></li>
<li><p>What I may lack in knowledge or experience, I wish to <strong>learn from my fellow moderators</strong>.  I want to be certain that the actions I take are in the best interests of the community.</p></li>
</ul>

<p>If the community will have me, then I will be more than willing to take on this role.</p>",0,2014-02-11 04:53:46.907000+00:00,2014-02-11 04:53:46.907000+00:00,2014-02-11 04:53:46.907000+00:00,2014-02-11 04:53:46.907000+00:00,,1079354,,1079354,6,0,
