id,title,body,comment_count,community_owned_date,creation_date,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,post_type_id,score,tags
41192984,,For development issues encountered while using Red Hat's distribution of OpenJDK.,0,,2016-12-16 21:56:00.277000+00:00,2016-12-18 06:58:49.870000+00:00,2016-12-18 06:58:49.870000+00:00,user2879327,,user2879327,,4,0,
36566251,,"Apex is a YARN-native platform that unifies stream and batch processing. It processes big data in-motion in a way that is highly scalable, highly performant, fault tolerant, stateful, secure, distributed, and easily operable.",0,,2016-04-12 07:21:15.827000+00:00,2016-04-12 08:11:16.563000+00:00,2016-04-12 08:11:16.563000+00:00,user6147934,,user6147934,,4,0,
34231120,,All long help threads should have a sticky globally-editable post at the top saying *'DEAR PEOPLE FROM THE FUTURE: Here's what we've figured out so far ...'*,0,,2015-12-11 19:28:50.883000+00:00,2015-12-11 19:28:50.883000+00:00,2015-12-11 19:28:50.883000+00:00,user177800,,user177800,,4,0,
13826180,,Association of a drive letter (A through Z) with a remote storage in Microsoft Windows and OS/2,0,,2012-12-11 18:24:01.373000+00:00,2012-12-11 18:24:01.373000+00:00,2012-12-11 18:24:01.373000+00:00,user166390,,user166390,,4,0,
7937566,,Cocoa bindings is Apple’s implementation of the Model-View-Controller design pattern for Mac OS X applications. It provides technologies that automate the synchronisation of domain data and the user interface elements that present them.,0,,2011-10-29 07:24:07.247000+00:00,2011-10-29 08:49:05.993000+00:00,2011-10-29 08:49:05.993000+00:00,user557219,,user557219,,4,0,
32253925,,"""Reed-Solomon"" codes are a set of error-correcting codes used in media and communication.",0,,2015-08-27 15:43:46.107000+00:00,2015-08-27 18:15:57.357000+00:00,2015-08-27 18:15:57.357000+00:00,user559633,,user559633,,4,0,
34125832,,"Let’s Encrypt is a free, automated, and open certificate authority provided by the Internet Security Research Group.",0,,2015-12-07 03:12:50.133000+00:00,2015-12-07 04:25:14.430000+00:00,2015-12-07 04:25:14.430000+00:00,user764357,,user764357,,4,0,
42141249,,For development issues encountered while using Red Hat JBoss BPM Suite,0,,2017-02-09 15:56:44.530000+00:00,2017-02-10 02:49:21.447000+00:00,2017-02-10 02:49:21.447000+00:00,user2879327,,user2879327,,4,0,
13467095,,Scalable Web Framework aimed at Speed and Simplicity,0,,2012-11-20 05:27:03.770000+00:00,2012-11-20 05:33:14.847000+00:00,2012-11-20 05:33:14.847000+00:00,user904990,,user904990,,4,0,
16797158,,"`pipes` is a group of libraries written in Haskell to provide safe, functional, and strict I/O.",0,,2013-05-28 16:35:42.230000+00:00,2013-05-28 16:41:02.213000+00:00,2013-05-28 16:41:02.213000+00:00,user824425,,user824425,,4,0,
11073354,,Strategies to protect an application / software from being copied or used without permission.,0,,2012-06-17 17:28:29.090000+00:00,2012-06-17 17:38:00.110000+00:00,2012-06-17 17:38:00.110000+00:00,user207616,,user207616,,4,0,
32314086,,Wifi Protected Setup (WPS) is a way of adding devices to a home network.,0,,2015-08-31 14:51:22.047000+00:00,2015-08-31 16:11:28.710000+00:00,2015-08-31 16:11:28.710000+00:00,user4409948,,user4409948,,4,0,
23195393,,"Reads in a string from the specified data input stream. The string has been encoded using a modified UTF-8 format.
The first two bytes are read as if by readUnsignedShort.",0,,2014-04-21 10:19:12.613000+00:00,2014-04-21 10:23:34.930000+00:00,2014-04-21 10:23:34.930000+00:00,user3541483,,user3541483,,4,0,
14563475,,PrimeFaces Mobile is a UI kit to implement JSF pages that are optimized for mobile devices with a native look and feel.,0,,2013-01-28 13:49:20.567000+00:00,2013-01-28 13:59:21.237000+00:00,2013-01-28 13:59:21.237000+00:00,user517491,,user517491,,4,0,
20188773,,"An Apple ID is the login you use for just about everything you do with Apple, including using iCloud to store your content, downloading apps from the App Store, and buying songs, movies, and TV shows from the iTunes Store.",0,,2013-11-25 09:42:01.077000+00:00,2013-11-25 09:44:52.513000+00:00,2013-11-25 09:44:52.513000+00:00,user207616,,user207616,,4,0,
19570260,,The Grails Cache plugin provides powerful and easy to use caching functionality to Grails applications and plugins. The plugin makes significant use of the caching abstraction provided by Spring 3.1.,0,,2013-10-24 15:33:48.197000+00:00,2013-10-24 15:45:42.300000+00:00,2013-10-24 15:45:42.300000+00:00,user235273,,user235273,,4,0,
11994735,,"Software cracking is the modification of software to remove or disable features which are considered undesirable by the person cracking the software, usually related to protection methods: (copy protection, protection against the manipulation of software), trial/demo version, serial number, hardware key, date checks, CD check or software annoyances like nag screens and adware.",0,,2012-08-16 20:10:11.183000+00:00,2012-08-16 20:42:58.953000+00:00,2012-08-16 20:42:58.953000+00:00,user207616,,user207616,,4,0,
37351671,,Questions about the usage of the JavaFx TreeTableView should use this tag.,0,,2016-05-20 16:36:01.780000+00:00,2016-05-21 01:07:04.407000+00:00,2016-05-21 01:07:04.407000+00:00,user6339740,,user6339740,,4,0,
15623018,,ASDoc is a command-line tool used to create API language reference documentation as HTML pages from ActionScript 3 and MXML classes.,0,,2013-03-25 19:22:53.783000+00:00,2013-03-25 19:36:12.193000+00:00,2013-03-25 19:36:12.193000+00:00,user1901867,,user1901867,,4,0,
46079676,,For development issues encountered while using Red Hat OpenShift Application Runtimes (RHOAR),0,,2017-09-06 15:57:19.927000+00:00,2017-09-07 07:10:51.040000+00:00,2017-09-07 07:10:51.040000+00:00,user2879327,,user2879327,,4,0,
29137786,,Meteor Tracker is an tiny but powerful library for transparent reactive programming in JavaScript,0,,2015-03-19 05:28:32.030000+00:00,2015-03-19 07:28:59.387000+00:00,2015-03-19 07:28:59.387000+00:00,user764357,,user764357,,4,0,
19040123,,"A real-time, node-based video effects compositor for the web built with HTML5, JavaScript and WebGL. [Source](https://github.com/brianchirls/Seriously.js)",0,,2013-09-26 23:04:50.627000+00:00,2013-09-26 23:52:56.003000+00:00,2013-09-26 23:52:56.003000+00:00,user1693593,,user1693593,,4,0,
38330637,,Casandra is a NoSQL database sponsored by Apache. Use this tag for a question specifically for version 2.2.,0,,2016-07-12 13:42:09.057000+00:00,2016-07-13 01:26:49.500000+00:00,2016-07-13 01:26:49.500000+00:00,user6575408,,user6575408,,4,0,
15035156,,Schematron Verification Report Language,0,,2013-02-22 23:45:49.900000+00:00,2013-02-22 23:45:49.900000+00:00,2013-02-22 23:45:49.900000+00:00,user166390,,user166390,,4,0,
24544717,,"DO NOT use this tag, use ""bfg-repo-cleaner"" instead.",0,,2014-07-03 04:03:38.727000+00:00,2014-07-03 04:09:55.043000+00:00,2014-07-03 04:09:55.043000+00:00,user456814,,user456814,,4,0,
41776973,,Version 2.0 of the C# driver for MongoDB.,0,,2017-01-21 07:49:00.737000+00:00,2017-01-22 04:04:39.577000+00:00,2017-01-22 04:04:39.577000+00:00,user7449516,,user7449516,,4,0,
