id,creation_date,post_id,vote_type_id
35376472,2012-10-24 00:00:00+00:00,13059144,11
121904379,2016-09-10 00:00:00+00:00,39423440,11
114626042,2016-05-24 00:00:00+00:00,37261733,11
58623229,2013-12-07 00:00:00+00:00,20187822,9
116197107,2016-06-16 00:00:00+00:00,37818347,8
19737873,2011-10-03 00:00:00+00:00,7568855,8
93609692,2015-07-20 00:00:00+00:00,31480719,9
18914200,2011-09-07 00:00:00+00:00,7163519,9
5949917,2010-02-03 00:00:00+00:00,2190340,11
26379833,2012-04-05 00:00:00+00:00,9199716,8
61569927,2014-01-29 00:00:00+00:00,21418687,12
117925318,2016-07-13 00:00:00+00:00,38346096,11
122568230,2016-09-20 00:00:00+00:00,39599345,11
96993609,2015-09-09 00:00:00+00:00,32472759,11
121030543,2016-08-28 00:00:00+00:00,39194631,11
64857681,2014-03-20 00:00:00+00:00,22489447,9
85239739,2015-03-15 00:00:00+00:00,29056313,11
46594267,2013-05-09 00:00:00+00:00,16443925,11
38775644,2012-12-28 00:00:00+00:00,2980067,11
144031994,2017-08-01 00:00:00+00:00,45428329,11
153203927,2017-12-13 00:00:00+00:00,47789969,11
80816874,2014-12-28 00:00:00+00:00,27675815,11
21015642,2011-11-13 00:00:00+00:00,6751331,9
51120645,2013-07-26 00:00:00+00:00,14789580,9
171410138,2018-09-17 00:00:00+00:00,52361936,11
129814704,2017-01-09 00:00:00+00:00,41539505,12
74282332,2014-09-01 00:00:00+00:00,25603776,11
120079579,2016-08-14 00:00:00+00:00,38815847,9
64858035,2014-03-20 00:00:00+00:00,22452137,8
74048775,2014-08-27 00:00:00+00:00,25530424,11
169260517,2018-08-13 00:00:00+00:00,51831377,11
17895588,2011-08-05 00:00:00+00:00,6962699,11
164418103,2018-05-30 00:00:00+00:00,50609673,11
167360089,2018-07-16 00:00:00+00:00,51354352,11
15794196,2011-06-09 00:00:00+00:00,6287929,11
71173563,2014-07-07 00:00:00+00:00,24467470,8
136810078,2017-04-17 00:00:00+00:00,43311982,8
140803996,2017-06-14 00:00:00+00:00,44554173,11
175437897,2018-11-19 00:00:00+00:00,53346630,9
26080263,2012-03-29 00:00:00+00:00,9882301,8
89708733,2015-05-22 00:00:00+00:00,30232911,9
147117657,2017-09-14 00:00:00+00:00,46036766,11
24457745,2012-02-17 00:00:00+00:00,9212416,9
101367765,2015-11-14 00:00:00+00:00,33405666,9
166483352,2018-07-02 00:00:00+00:00,51134582,11
22790851,2012-01-05 00:00:00+00:00,8738346,7
90125857,2015-05-28 00:00:00+00:00,30509641,11
96882087,2015-09-07 00:00:00+00:00,32340691,9
92924471,2015-07-09 00:00:00+00:00,31184635,9
52771835,2013-08-25 00:00:00+00:00,18426366,11
140111570,2017-06-05 00:00:00+00:00,44264665,8
94160042,2015-07-28 00:00:00+00:00,28149101,8
134880728,2017-03-20 00:00:00+00:00,42906177,11
25205376,2012-03-07 00:00:00+00:00,9518848,9
168878165,2018-08-07 00:00:00+00:00,51736041,11
145079488,2017-08-15 00:00:00+00:00,45647936,9
25731009,2012-03-21 00:00:00+00:00,3046246,8
13431397,2011-03-16 00:00:00+00:00,5280467,9
62277165,2014-02-09 00:00:00+00:00,21661882,11
39303368,2013-01-08 00:00:00+00:00,14220574,11
4165763,2009-09-26 00:00:00+00:00,1475501,9
101114881,2015-11-10 00:00:00+00:00,33318792,9
3397371,2009-07-24 00:00:00+00:00,1180072,11
55672938,2013-10-16 00:00:00+00:00,19410433,11
43151073,2013-03-14 00:00:00+00:00,15351821,8
143910748,2017-07-30 00:00:00+00:00,45304164,9
79903904,2014-12-10 00:00:00+00:00,26872493,9
86500958,2015-04-06 00:00:00+00:00,29281399,9
92349848,2015-06-30 00:00:00+00:00,31148030,11
76109418,2014-10-03 00:00:00+00:00,26112350,9
108403224,2016-02-26 00:00:00+00:00,35645334,11
97379436,2015-09-15 00:00:00+00:00,32476574,8
43449975,2013-03-19 00:00:00+00:00,15443442,9
122180091,2016-09-14 00:00:00+00:00,39495516,11
95247211,2015-08-13 00:00:00+00:00,31921574,8
115352350,2016-06-04 00:00:00+00:00,37577404,8
161870317,2018-04-22 00:00:00+00:00,49937294,8
90857034,2015-06-08 00:00:00+00:00,30719230,11
141688541,2017-06-28 00:00:00+00:00,44795403,11
54799647,2013-10-01 00:00:00+00:00,19114289,11
165473167,2018-06-15 00:00:00+00:00,50876474,11
26742590,2012-04-15 00:00:00+00:00,10148275,11
50412016,2013-07-14 00:00:00+00:00,17605252,8
46403971,2013-05-06 00:00:00+00:00,16397211,11
88998261,2015-05-12 00:00:00+00:00,30187400,11
20342652,2011-10-23 00:00:00+00:00,7866489,9
148305059,2017-10-02 00:00:00+00:00,46449630,8
129257555,2016-12-30 00:00:00+00:00,32969172,8
40860374,2013-02-04 00:00:00+00:00,4655376,8
8319507,2010-06-26 00:00:00+00:00,3124684,11
83151214,2015-02-08 00:00:00+00:00,28379833,11
167692733,2018-07-20 00:00:00+00:00,51438704,11
163764341,2018-05-21 00:00:00+00:00,50442274,11
1963959,2009-03-15 00:00:00+00:00,639764,8
59045377,2013-12-14 00:00:00+00:00,20586123,11
127090080,2016-11-26 00:00:00+00:00,40497025,9
91920253,2015-06-24 00:00:00+00:00,30684909,9
64376607,2014-03-13 00:00:00+00:00,22368127,11
86379867,2015-04-02 00:00:00+00:00,5739830,9
95963105,2015-08-24 00:00:00+00:00,32166680,9
106593176,2016-02-02 00:00:00+00:00,35144004,12
148139912,2017-09-28 00:00:00+00:00,46330762,9
49925290,2013-07-04 00:00:00+00:00,15708324,8
76634443,2014-10-14 00:00:00+00:00,26351466,11
104066354,2015-12-24 00:00:00+00:00,34452340,11
138378833,2017-05-10 00:00:00+00:00,43606974,11
165905782,2018-06-22 00:00:00+00:00,50942951,8
28102648,2012-05-18 00:00:00+00:00,7632657,8
29800994,2012-06-27 00:00:00+00:00,11068297,11
60442124,2014-01-10 00:00:00+00:00,21043050,11
163996281,2018-05-24 00:00:00+00:00,50483834,11
128330678,2016-12-14 00:00:00+00:00,41144985,11
156999434,2018-02-12 00:00:00+00:00,48606213,9
55157401,2013-10-07 00:00:00+00:00,19147138,9
72522617,2014-07-30 00:00:00+00:00,25045922,11
103745240,2015-12-19 00:00:00+00:00,33867730,8
125136356,2016-10-27 00:00:00+00:00,27503846,8
175506675,2018-11-19 00:00:00+00:00,53383218,11
146879483,2017-09-11 00:00:00+00:00,46155084,11
143760442,2017-07-27 00:00:00+00:00,45356394,11
164682423,2018-06-04 00:00:00+00:00,50229400,11
115981772,2016-06-14 00:00:00+00:00,37806206,11
163442900,2018-05-16 00:00:00+00:00,50362307,11
34733501,2012-10-12 00:00:00+00:00,12864518,11
100153571,2015-10-27 00:00:00+00:00,33364597,11
37119612,2012-11-27 00:00:00+00:00,13578433,9
140188304,2017-06-06 00:00:00+00:00,44385120,11
45514045,2013-04-20 00:00:00+00:00,15234079,9
83933307,2015-02-20 00:00:00+00:00,28482313,8
27752525,2012-05-09 00:00:00+00:00,10522371,11
112883867,2016-04-29 00:00:00+00:00,36928726,11
4016033,2009-09-14 00:00:00+00:00,1410894,8
37646178,2012-12-06 00:00:00+00:00,13698275,8
48704265,2013-06-13 00:00:00+00:00,17026641,8
47271778,2013-05-20 00:00:00+00:00,16513134,9
79325874,2014-12-01 00:00:00+00:00,27226867,11
145186280,2017-08-17 00:00:00+00:00,45727465,12
123235443,2016-09-29 00:00:00+00:00,39779518,12
110783293,2016-03-31 00:00:00+00:00,15022548,11
150721398,2017-11-07 00:00:00+00:00,47149593,11
15599089,2011-06-02 00:00:00+00:00,6177570,8
102932779,2015-12-08 00:00:00+00:00,33080252,9
33267043,2012-09-13 00:00:00+00:00,12293434,9
62811117,2014-02-18 00:00:00+00:00,21843519,12
24983989,2012-03-01 00:00:00+00:00,9228796,8
149522607,2017-10-19 00:00:00+00:00,46838068,11
13522712,2011-03-19 00:00:00+00:00,5221428,9
97487183,2015-09-16 00:00:00+00:00,32609408,11
21574231,2011-11-29 00:00:00+00:00,8309725,11
75377752,2014-09-20 00:00:00+00:00,1424130,12
155763975,2018-01-24 00:00:00+00:00,48357644,8
108193446,2016-02-23 00:00:00+00:00,35586940,12
115971984,2016-06-14 00:00:00+00:00,37713266,8
59963388,2014-01-02 00:00:00+00:00,20850508,8
110535216,2016-03-27 00:00:00+00:00,25538767,9
43473045,2013-03-19 00:00:00+00:00,14645285,8
8576716,2010-07-12 00:00:00+00:00,2608887,8
131820052,2017-02-06 00:00:00+00:00,41948943,9
75687517,2014-09-25 00:00:00+00:00,25979975,8
91381617,2015-06-16 00:00:00+00:00,30830066,11
100905192,2015-11-07 00:00:00+00:00,33292029,11
39982031,2013-01-20 00:00:00+00:00,14401371,8
141449828,2017-06-24 00:00:00+00:00,44603237,9
149727372,2017-10-23 00:00:00+00:00,46831091,8
120862949,2016-08-25 00:00:00+00:00,38860807,11
146180058,2017-08-31 00:00:00+00:00,45725963,8
56869135,2013-11-06 00:00:00+00:00,19824814,11
61728926,2014-01-31 00:00:00+00:00,21405009,9
154015641,2017-12-27 00:00:00+00:00,47995669,11
165260420,2018-06-12 00:00:00+00:00,50823163,11
23350956,2012-01-20 00:00:00+00:00,8866570,8
89498602,2015-05-19 00:00:00+00:00,30333221,12
93043484,2015-07-10 00:00:00+00:00,31348163,11
20329160,2011-10-22 00:00:00+00:00,7745087,9
170076874,2018-08-27 00:00:00+00:00,52001801,11
85972891,2015-03-26 00:00:00+00:00,29289985,11
75037415,2014-09-15 00:00:00+00:00,25842410,11
24185647,2012-02-10 00:00:00+00:00,9178488,8
18415012,2011-08-23 00:00:00+00:00,7153592,9
59218618,2013-12-17 00:00:00+00:00,20590022,9
162530057,2018-05-02 00:00:00+00:00,50046027,8
137327887,2017-04-24 00:00:00+00:00,43596034,4
25462875,2012-03-14 00:00:00+00:00,9680250,9
84930553,2015-03-10 00:00:00+00:00,28757694,9
45956663,2013-04-28 00:00:00+00:00,16260490,11
39278552,2013-01-08 00:00:00+00:00,14212953,11
146942701,2017-09-12 00:00:00+00:00,46170450,12
6733715,2010-03-22 00:00:00+00:00,2492688,11
85518406,2015-03-19 00:00:00+00:00,29099313,8
17712346,2011-07-31 00:00:00+00:00,6889885,11
56940428,2013-11-08 00:00:00+00:00,19639675,9
134479870,2017-03-14 00:00:00+00:00,42792716,11
39807739,2013-01-17 00:00:00+00:00,14317087,8
26836358,2012-04-17 00:00:00+00:00,2315254,11
42007797,2013-02-24 00:00:00+00:00,14666476,8
19549915,2011-09-27 00:00:00+00:00,7547449,8
4945072,2009-11-25 00:00:00+00:00,1755293,9
14047403,2011-04-08 00:00:00+00:00,5522114,9
164078368,2018-05-25 00:00:00+00:00,50505257,11
23877723,2012-02-02 00:00:00+00:00,9119196,11
95668299,2015-08-19 00:00:00+00:00,32097679,11
148694574,2017-10-07 00:00:00+00:00,46622432,11
174784078,2018-11-08 00:00:00+00:00,53204066,11
15693017,2011-06-06 00:00:00+00:00,6213348,8
66801542,2014-04-22 00:00:00+00:00,23073569,9
92153620,2015-06-27 00:00:00+00:00,31092065,11
14851045,2011-05-09 00:00:00+00:00,5898030,8
171877522,2018-09-24 00:00:00+00:00,52478314,11
121045450,2016-08-29 00:00:00+00:00,39198302,11
135244571,2017-03-24 00:00:00+00:00,43000916,9
29894809,2012-06-29 00:00:00+00:00,11202940,9
90027707,2015-05-27 00:00:00+00:00,30483792,11
96828978,2015-09-06 00:00:00+00:00,32427709,11
148676204,2017-10-07 00:00:00+00:00,46420640,9
109137344,2016-03-07 00:00:00+00:00,35853331,11
132261934,2017-02-11 00:00:00+00:00,42042014,9
52591567,2013-08-21 00:00:00+00:00,18364872,11
129571174,2017-01-05 00:00:00+00:00,41473157,11
167463022,2018-07-17 00:00:00+00:00,51380375,11
36476173,2012-11-14 00:00:00+00:00,13307350,9
54737518,2013-09-30 00:00:00+00:00,19093691,11
91832533,2015-06-23 00:00:00+00:00,30996638,11
167622382,2018-07-19 00:00:00+00:00,51392079,11
54731917,2013-09-30 00:00:00+00:00,15329692,8
167578129,2018-07-18 00:00:00+00:00,51370014,11
123518876,2016-10-04 00:00:00+00:00,39856964,11
6859300,2010-03-30 00:00:00+00:00,2542901,11
162419766,2018-04-30 00:00:00+00:00,47436033,11
12063082,2011-01-18 00:00:00+00:00,4675925,9
90532927,2015-06-03 00:00:00+00:00,30614804,11
83093391,2015-02-06 00:00:00+00:00,13935909,8
150065256,2017-10-27 00:00:00+00:00,46979332,11
45828058,2013-04-25 00:00:00+00:00,16221189,11
121885244,2016-09-09 00:00:00+00:00,39418510,11
107379828,2016-02-12 00:00:00+00:00,35221621,9
141990258,2017-07-03 00:00:00+00:00,44779530,9
72824554,2014-08-05 00:00:00+00:00,24970921,9
129244653,2016-12-30 00:00:00+00:00,41277668,9
75667355,2014-09-25 00:00:00+00:00,25846907,9
64791645,2014-03-19 00:00:00+00:00,22147941,8
104681583,2016-01-05 00:00:00+00:00,34618663,11
109807213,2016-03-16 00:00:00+00:00,35627938,8
21893929,2011-12-07 00:00:00+00:00,8421488,11
29631687,2012-06-23 00:00:00+00:00,11052982,9
138504746,2017-05-11 00:00:00+00:00,43740187,8
9837302,2010-09-21 00:00:00+00:00,3650410,9
56383740,2013-10-29 00:00:00+00:00,19518963,8
109912964,2016-03-17 00:00:00+00:00,35837655,9
5127317,2009-12-09 00:00:00+00:00,1799304,9
134386739,2017-03-13 00:00:00+00:00,42448372,8
