id,comment_count,owner_user_id,parent_id,post_type_id,score,choosen
47949879,0,5602957,47949810,2,2,0
3497784,0,1831,3497732,2,2,1
39122150,1,2868335,39110336,2,3,1
36403800,0,2825245,36403626,2,2,1
9292801,0,1209028,1231764,2,4,0
46788128,1,2266,46779027,2,0,1
31562636,0,3139451,7876397,2,1,0
28468118,3,1088108,28467955,2,9,1
24088986,0,66708,7309156,2,0,0
24765032,0,3838649,24764506,2,0,0
48391559,1,1315419,48391326,2,1,1
18857992,0,751716,18013055,2,2,0
31280607,0,1455003,31279413,2,0,0
47051413,7,2913267,47051285,2,1,1
949156,0,15622,949122,2,0,0
35198673,5,8922,35198423,2,0,0
22525407,1,3438004,22508810,2,0,0
51178255,1,1144035,51178240,2,2,1
34129149,6,192373,34127830,2,2,0
28164873,0,2358802,28164499,2,8,1
34360996,0,2120677,34292707,2,0,1
27108136,2,2068642,27107795,2,0,0
50545650,0,6548457,50542474,2,0,0
3112684,0,365817,3112516,2,1,0
7384267,2,816620,7384158,2,0,1
33476557,3,912756,33476521,2,2,0
24779453,1,2729109,24779225,2,1,0
20252084,4,1159478,20252016,2,4,1
27436226,0,1602049,27436188,2,0,0
10257956,6,2603665,10252847,2,0,0
12665062,1,944474,12665030,2,5,1
40495584,0,3975309,40492430,2,1,0
43322082,0,1640661,12660389,2,1,0
13643341,6,761932,13643302,2,4,1
38694383,0,4928118,38688993,2,0,0
1781351,1,20377,1781330,2,3,1
9171084,0,1103682,9170737,2,3,1
40137890,1,7007090,40136952,2,1,0
47250165,0,3796113,47250120,2,1,0
11194176,0,2009,11194137,2,1,0
50128787,0,5351549,50121897,2,1,1
13943006,1,164392,13942829,2,1,1
18979814,0,2810777,12379100,2,4,0
29928777,8,3700134,29928683,2,0,1
20876583,0,46548,172798,2,0,0
16411743,0,420683,16411599,2,6,0
47518322,0,3796113,47517541,2,3,0
4670238,1,26115,4670013,2,1,0
46116651,1,492976,37796200,2,5,0
25238477,0,3844708,25238380,2,0,0
15946929,1,1745902,15940648,2,0,1
32134578,0,1651660,32134452,2,0,0
29788319,0,4817635,16095038,2,0,0
36535652,5,2098932,36535583,2,-2,0
51461289,0,3901029,51461051,2,0,0
971718,1,76456,971666,2,0,0
3118754,2,149184,410719,2,-1,0
48708587,1,954852,48708449,2,0,0
42007507,0,7252182,41989213,2,0,1
17727036,1,2595940,17726810,2,0,0
52730894,0,64833,52730678,2,0,0
35972293,1,3764965,35972254,2,2,0
34061396,0,3021018,34057401,2,0,1
32492807,0,5309870,32444789,2,0,0
50283532,0,4930914,50261008,2,0,0
11858816,0,856170,11858741,2,0,0
20993504,0,493122,20993147,2,1,0
46400932,0,8521191,46400352,2,0,0
25152162,2,1215715,25152141,2,0,0
39937528,1,174777,39920505,2,3,1
7694706,0,451969,7694648,2,1,0
26634433,0,1381820,26627142,2,2,1
17963944,3,1490335,17963936,2,10,1
27358234,2,184184,27358146,2,1,0
53087146,0,9286938,53086987,2,1,1
2242836,0,200486,2242141,2,3,1
30403490,1,3152155,30403439,2,1,1
23872220,0,785663,23849870,2,0,0
15418753,2,23478,15418547,2,3,1
3213213,1,28169,3213172,2,0,0
1904219,4,212384,1904160,2,5,0
37001530,14,6075259,37000467,2,3,1
6655391,0,258676,6184222,2,1,1
8441427,7,694014,8441368,2,6,0
14209648,0,1584106,14197875,2,2,1
13947286,6,869621,13947250,2,0,0
40721850,1,4524618,40721365,2,0,1
26348325,0,566117,26341896,2,0,1
23774116,4,567435,23773677,2,0,0
2144207,6,153285,2143933,2,1,0
11371447,0,675129,11371433,2,3,0
20606755,0,3096452,20569751,2,0,0
7257715,3,605142,7257581,2,0,0
48659796,0,9326506,45822058,2,7,0
36542091,0,1125824,36541656,2,1,0
11805839,0,992484,11805723,2,0,0
1138481,1,,1135838,2,0,0
5028204,0,74314,5028126,2,1,0
49352377,0,6244155,47913079,2,0,0
39758142,2,3102718,39757796,2,18,1
25095645,1,1748342,25095028,2,2,0
9545537,4,275243,9545450,2,-2,0
10311566,2,774395,10286067,2,1,1
43092153,8,1392379,43088889,2,1,0
6612150,0,833722,655325,2,9,0
6043585,2,2665694,6043463,2,0,0
44672750,0,1782792,44671940,2,2,1
8160910,0,945436,8158383,2,0,0
43633075,4,5408830,43632425,2,0,0
3936374,1,367725,3932611,2,1,1
21461913,1,214790,21453337,2,2,1
11141024,0,630877,11140774,2,3,1
55063,5,1242,55035,2,0,1
6586829,0,812837,6586611,2,0,0
39813350,0,4291255,39813187,2,0,
3686434,7,22656,3686413,2,1,1
28593237,1,3998132,28113120,2,2,0
28458305,4,3706088,28458191,2,2,1
18637281,0,566326,18635872,2,0,0
26271649,0,4101796,26271399,2,0,1
5400235,0,155537,5399967,2,4,0
38133877,1,1373905,38114455,2,1,0
34402078,1,229044,34401904,2,1,0
25557334,1,190597,25557240,2,1,0
10289994,0,359508,9412061,2,0,0
21282502,0,2030040,21281430,2,1,1
29338735,1,452344,17678881,2,7,0
10125632,0,84651,10125585,2,4,1
31877525,1,451475,31876911,2,0,0
26095418,0,3989608,26094905,2,2,1
21935225,0,2282623,3090108,2,17,0
21601801,3,1106382,21601773,2,2,1
17862529,1,2301887,17853294,2,0,0
6454408,0,793619,6453771,2,1,0
18558848,0,1094827,5036851,2,4,0
24881797,0,2527905,24881645,2,0,0
4899615,1,519216,4899537,2,2,1
23618035,1,2278569,23615376,2,0,0
13067334,1,429846,13067012,2,2,0
28012237,0,1728692,26091947,2,2,0
28943921,2,3489698,28943011,2,1,0
37333712,5,4974662,37333614,2,8,1
43796298,0,7058111,7188192,2,1,0
23026605,0,3159253,23026562,2,0,0
23905583,0,1417629,21934426,2,0,0
8365888,2,1031170,8365856,2,0,0
11595732,4,29157,11595706,2,2,0
13691319,4,618598,13691194,2,2,1
15196409,0,2130811,13428012,2,1,0
20492528,2,1762224,20492167,2,3,1
43895442,9,6479530,43894482,2,0,1
25002142,0,3739498,24997320,2,0,0
36124682,0,5766732,36113250,2,1,1
28281133,2,123109,28280635,2,4,0
19374473,0,853593,19366016,2,1,0
39263731,0,4236520,39263570,2,0,0
48619325,0,7456923,44259578,2,1,1
13371088,0,1819989,13356044,2,1,1
37950861,1,4580033,37950604,2,2,1
28197851,2,2897008,28193588,2,4,1
7417328,0,306030,7416727,2,0,0
7693999,5,76465,7693994,2,202,1
30738569,0,4362001,30738410,2,0,0
20889284,1,373207,7000819,2,8,0
946137,0,50109,946071,2,0,0
41194207,2,1306792,41194173,2,0,0
42341414,0,6892654,42340806,2,-1,0
19729970,0,1495001,18471524,2,1,1
38652890,0,5874239,38652467,2,0,0
22060522,0,2907525,22060154,2,1,0
38879167,0,6697156,38858554,2,0,1
52899690,0,2422776,52899608,2,2,1
17740294,5,515650,17739413,2,0,0
29260452,0,131872,29260317,2,5,1
483638,0,1084,483609,2,1,0
51466472,0,6366098,51463615,2,0,0
42159298,1,28169,42159232,2,3,1
4258944,3,250301,4258872,2,2,0
27533736,0,2274212,27533157,2,9,1
5245861,0,333291,5245669,2,0,0
