id,answer_count,comment_count,score,view_count
33476521,2,0,1,54
13691194,1,0,1,80
31876911,1,6,-2,34
20569751,1,0,0,111
34292707,1,8,-7,76
29928683,2,0,-1,63
22060154,2,4,0,130
6043463,5,0,9,1391
12665030,1,0,0,2480
5036851,2,1,1,6492
25152141,4,2,-3,203
28467955,1,0,5,104
7257581,4,4,2,210
36535583,4,0,-4,27
25557240,2,1,0,58
6184222,2,0,0,1469
6453771,2,2,0,1403
30738410,4,1,1,132
20993147,3,4,2,121
13643302,1,4,0,169
34401904,2,0,0,23
1781330,2,1,0,1300
15418547,1,0,1,159
4670013,6,3,58,38679
21281430,2,4,2,75
9545450,3,0,5,11725
655325,13,0,6,30585
26627142,1,2,1,465
11194137,2,2,1,588
26341896,1,0,0,167
34127830,2,0,1,111
410719,27,6,65,44665
17853294,1,2,4,521
26094905,1,0,0,292
4258872,6,3,0,873
9170737,2,0,0,9119
32444789,2,0,0,53
24881645,2,0,1,151
5245669,8,1,1,8221
27358146,1,0,0,174
28943011,3,2,0,54
13947250,1,0,0,216
18471524,1,3,1,774
17678881,44,1,740,453947
3213172,2,0,2,152
14197875,1,2,0,154
10286067,1,0,0,503
10252847,1,4,0,208
172798,37,6,123,25117
11805723,2,0,0,631
28113120,2,0,1,382
13428012,2,2,1,719
13942829,3,0,1,251
8441368,4,3,3,26079
3497732,3,0,2,1110
7694648,4,3,-2,167
27436188,1,3,0,52
30403439,1,1,0,41
25238380,3,0,0,54
18013055,8,6,10,22186
4899537,1,0,1,1040
23773677,1,7,-1,3685
7384158,2,3,0,484
34057401,2,0,0,34
5399967,5,3,8,7255
13067012,2,2,6,11780
949122,3,3,3,11059
12660389,4,0,5,3617
25095028,1,0,2,1039
7416727,1,1,0,1873
5028126,2,0,0,896
16411599,3,0,4,1736
17963936,3,0,-2,83
36541656,1,0,0,18
1904160,4,0,25,52323
2242141,2,0,3,843
7693994,7,6,65,266054
18635872,2,1,0,614
28193588,2,0,1,627
36113250,1,0,1,29
3112516,4,0,5,462
27107795,2,0,0,206
971666,4,0,0,679
35198423,2,0,0,86
19366016,1,5,1,509
15940648,1,5,0,162
26091947,2,0,3,3343
7188192,4,2,1,27186
20492167,2,1,-1,164
23615376,1,8,0,148
17726810,1,4,0,126
3932611,1,0,0,974
7000819,6,0,56,67507
28280635,3,2,2,314
3686413,1,0,1,320
11858741,5,5,5,13358
946071,6,2,6,11576
16095038,2,7,0,550
11140774,3,0,2,114
24997320,2,0,0,380
31279413,2,10,1,143
27533157,1,2,1,979
11371433,2,1,2,61
23026562,4,1,1,137
22508810,2,0,0,24
37333614,2,0,7,115
21934426,1,0,0,594
37000467,1,2,1,39
6586611,1,0,0,1286
29260317,1,0,0,127
483609,6,1,11,29135
20252016,1,0,2,3550
7309156,2,2,0,905
8365856,2,0,1,82
9412061,3,0,2,6590
28164499,3,1,2,925
21453337,1,0,0,471
10125585,3,1,6,1362
55035,1,0,6,2246
3090108,5,0,19,8817
28458191,3,10,0,274
12379100,3,0,11,23189
24779225,2,3,0,49
17739413,3,0,3,712
35972254,4,3,0,44
32134452,4,6,0,41
8158383,2,2,0,408
26271399,2,2,-6,56
13356044,2,0,2,567
36403626,2,1,3,68
11595706,2,3,1,1107
24764506,2,0,1,600
1231764,13,1,25,22611
23849870,1,0,0,36
21601773,1,0,1,6299
2143933,6,2,4,3754
7876397,3,0,6,6117
